ReaderGroup,Reader
Conf- Naugle Entrance A,132 Na1Lob
Conf- Naugle Entrance B,131 Na1 EB
Conf- Naugle Entrance B,132 Na1Lob
Conf- Smith,570 Sm AF
Conf- Smith,571 Sm AF
Conf- Smith,572 Sm AB
Conf- Smith,573 Sm BF
Conf- Smith,574SmBGHan
Conf- Smith,575 Sm BB
Conf- Smith,576 Sm CF
Conf- Smith,577 Sm CF
Conf- Smith,578 Sm CB
Conf- Smith,579SmCLaun
Conf- Sollenberger 1st Hall,617So1Tunn
Conf- Sollenberger 1st Hall,618So1RRSt
Conf- Sollenberger 1st Hall,619So1LSt
Conf- Sollenberger 1st Hall,621So1LobI
Conf- Sollenberger 2nd Hall,521MV1MLob
Conf- Sollenberger 2nd Hall,622 Sol 2R
Conf- Sollenberger 2nd Hall,623So2Tunn
Conf- Sollenberger 2nd Hall,624So2BLSt
Conf- Sollenberger 3rd Hall,521MV1MLob
Conf- Sollenberger 3rd Hall,625So3Tunn
Conf- Sollenberger 3rd Hall,626So3RSt
Conf- Sollenberger 3rd Hall,627So3LSt
Conf- Sollenberger All,516MVGDeck
Conf- Sollenberger All,517MVGPat
Conf- Sollenberger All,521MV1MLob
Conf- Sollenberger All,610SoGFRE
Conf- Sollenberger All,611SoGRI
Conf- Sollenberger All,612SoGIL
Conf- Sollenberger All,613SoGEL
Conf- Sollenberger All,614SoGIRSt
Conf- Sollenberger All,615SoGRSt
Conf- Sollenberger All,617So1Tunn
Conf- Sollenberger All,618So1RRSt
Conf- Sollenberger All,619So1LSt
Conf- Sollenberger All,620So1LobM
Conf- Sollenberger All,621So1LobI
Conf- Sollenberger All,622 Sol 2R
Conf- Sollenberger All,623So2Tunn
Conf- Sollenberger All,624So2BLSt
Conf- Sollenberger All,625So3Tunn
Conf- Sollenberger All,626So3RSt
Conf- Sollenberger All,627So3LSt
Conf- Sollenberger Entrance,511 MVGE
Conf- Sollenberger Entrance,512 MVGES
Conf- Sollenberger Entrance,516MVGDeck
Conf- Sollenberger Entrance,517MVGPat
Conf- Sollenberger Entrance,521MV1MLob
Conf- Sollenberger Entrance,610SoGFRE
Conf- Sollenberger Entrance,613SoGEL
Conf- Sollenberger Entrance,615SoGRSt
Conf- Sollenberger Entrance,620So1LobM
Conf- Sollenberger Gnd Hall,611SoGRI
Conf- Sollenberger Gnd Hall,612SoGIL
Conf- Sollenberger Gnd Hall,614SoGIRSt
Conf- Witmer A 1st Hall,546W1ASt
Conf- Witmer A 1st Hall,561W1ALob
Conf- Witmer A 2nd Hall,547W2ACent
Conf- Witmer A 2nd Hall,548W2AESt
Conf- Witmer A 3rd Hall,549W3ACent
Conf- Witmer A 3rd Hall,550W3AESt
